time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-23T16:47:01.204Z,-5.6264,146.1056,89.316,4.6,mb,62,77,6.212,1.09,us,us7000l5sv,2023-10-23T17:14:43.040Z,"57 km SE of Madang, Papua New Guinea",earthquake,9.84,5.581,0.07,61,reviewed,us,us
2023-10-23T16:01:31.740Z,43.8368,147.6851,85.835,4.5,mb,55,145,3.686,0.82,us,us6000lhj3,2023-10-23T17:03:40.040Z,"77 km E of Shikotan, Russia",earthquake,12.19,8.139,0.081,45,reviewed,us,us
2023-10-23T00:17:26.539Z,-23.7218,179.0544,542.401,4.6,mb,54,88,5.887,0.71,us,us6000lhdj,2023-10-23T00:36:41.040Z,"south of the Fiji Islands",earthquake,13.22,9.406,0.057,92,reviewed,us,us
2023-10-22T19:31:43.199Z,-23.6632,179.3946,537.016,5.5,mww,94,56,5.58,1.05,us,us6000lhch,2023-10-22T21:34:38.234Z,"south of the Fiji Islands",earthquake,10.56,6.138,0.083,14,reviewed,us,us
2023-10-22T19:20:22.741Z,23.3525,117.3952,10,5,mb,74,45,1.432,0.63,us,us6000lhcf,2023-10-23T03:07:17.717Z,"near the coast of Fujian, China",earthquake,6.31,1.884,0.077,54,reviewed,us,us
2023-10-22T15:14:12.034Z,39.3035,97.204,10,5,mb,55,72,6.14,0.7,us,us6000lhbi,2023-10-22T15:33:41.040Z,"74 km SW of Laojunmiao, China",earthquake,3.57,1.889,0.045,156,reviewed,us,us
2023-10-22T14:23:05.495Z,0.41,98.3255,27.748,4.7,mb,28,132,1.162,0.71,us,us6000lhba,2023-10-22T14:42:42.040Z,"Nias region, Indonesia",earthquake,7.42,3.926,0.126,19,reviewed,us,us
2023-10-22T14:13:40.467Z,27.2115,128.2038,61.362,4.6,mb,39,129,0.379,0.52,us,us6000lhb9,2023-10-22T14:33:08.040Z,"31 km NE of Iheya, Japan",earthquake,9.02,7.353,0.099,30,reviewed,us,us
2023-10-22T04:45:47.618Z,-25.9983,69.9756,10,5.2,mb,65,44,8.698,0.53,us,us6000lh97,2023-10-22T05:19:28.040Z,"Indian Ocean Triple Junction",earthquake,10.35,1.823,0.059,94,reviewed,us,us
2023-10-22T03:03:21.345Z,-58.6997,-25.2008,29.585,4.9,mb,50,54,7.652,0.71,us,us6000lh8l,2023-10-22T03:33:26.040Z,"South Sandwich Islands region",earthquake,11.59,4.727,0.086,43,reviewed,us,us
2023-10-22T02:05:15.172Z,16.3143,-99.0333,10,4.9,mb,60,209,1.321,1.16,us,us6000lh8d,2023-10-22T03:47:10.315Z,"33 km S of Copala, Mexico",earthquake,8.94,1.971,0.027,426,reviewed,us,us
2023-10-22T01:54:20.970Z,27.8679,84.7191,24.684,5.2,mb,82,40,1.854,0.76,us,us6000lh8c,2023-10-22T20:10:17.789Z,"Nepal-India border region",earthquake,6.48,4.975,0.049,139,reviewed,us,us
2023-10-21T23:39:00.322Z,7.632,-75.043,59.267,4.5,mb,39,86,1.511,0.92,us,us6000lh80,2023-10-21T23:57:35.040Z,"24 km NW of Zaragoza, Colombia",earthquake,3.56,9.014,0.111,24,reviewed,us,us
2023-10-21T17:10:02.192Z,14.2585,-93.4134,10,4.9,mb,85,175,2.359,0.55,us,us6000lh6m,2023-10-21T17:45:24.040Z,"118 km WSW of Puerto Madero, Mexico",earthquake,13.47,1.952,0.044,161,reviewed,us,us
2023-10-21T17:05:13.508Z,14.2136,-93.4334,10,4.6,mb,98,203,2.407,0.82,us,us6000lh6l,2023-10-21T17:30:35.040Z,"122 km WSW of Puerto Madero, Mexico",earthquake,7.13,1.958,0.042,171,reviewed,us,us
2023-10-21T16:22:46.371Z,-4.3773,153.4935,107.286,4.5,mb,30,156,12.135,0.65,us,us6000lh6e,2023-10-21T16:51:17.040Z,"136 km E of Kokopo, Papua New Guinea",earthquake,12.6,7.376,0.102,28,reviewed,us,us
2023-10-21T15:40:21.518Z,31.8109,142.3374,17.904,4.7,mb,40,136,2.498,0.56,us,us6000lh68,2023-10-21T16:46:35.040Z,"Izu Islands, Japan region",earthquake,7.53,2.998,0.073,57,reviewed,us,us
2023-10-21T15:21:43.061Z,9.1139,126.5818,35,4.6,mb,43,118,2.261,0.69,us,us6000lh6a,2023-10-21T16:41:01.040Z,"37 km ENE of La Paz, Philippines",earthquake,5.81,1.835,0.095,33,reviewed,us,us
2023-10-21T15:11:07.261Z,-38.6948,143.5136,10,4.8,mb,26,75,1.92,0.72,us,us6000lh60,2023-10-23T04:26:21.947Z,"15 km WNW of Apollo Bay, Australia",earthquake,4.55,1.887,0.105,28,reviewed,us,us
